"Month","Total_Premiums","Total_Acq","Total_Ren","Total_Claims","Total_Commission"
1,12283738.3403321,0,1724069.48889843,2228651.16783935,1724069.48889843
2,12205973.3264817,0,1453898.4065859,2227231.69072406,1453898.4065859
3,12146592.1480839,0,1575875.62335939,2228313.07041427,1575875.62335939
4,12096189.3462643,0,1688044.72669301,2228859.47406762,1688044.72669301
5,12046386.3766675,0,1857814.40501367,2228757.55636566,1857814.40501367
6,12009956.6218931,0,1773483.03146408,2237458.54441781,1773483.03146408
7,11963232.3813025,0,1673217.19303332,2241053.97648467,1673217.19303332
8,11891895.3458363,0,1085622.88742194,2236764.25646361,1085622.88742194
9,11825903.7374645,0,1448330.98896078,2233040.40460596,1448330.98896078
10,11784034.0332988,0,2013018.11978696,2237643.23629543,2013018.11978696
11,11748436.5255506,0,1560929.13113842,2239005.50827499,1560929.13113842
12,11705106.2418747,0,1449191.59884684,2240733.56495539,1449191.59884684
13,11664409.8581669,0,849663.813411836,2243843.44018176,849663.813411836
14,11608042.2044106,0,698432.603886263,2244920.96448547,698432.603886263
15,11565231.052564,0,856133.652678698,2249742.76391778,856133.652678698
16,11524350.9872644,0,858208.001559717,2255048.91873205,858208.001559717
17,11483378.0291605,0,893926.691802536,2258470.61257816,893926.691802536
18,11455412.0357959,0,962670.744339211,2270682.69001623,962670.744339211
19,11418064.2685988,0,875724.955128641,2276683.7769434,875724.955128641
20,11356463.3999144,0,594245.750370482,2273627.49189921,594245.750370482
21,11300340.9876052,0,740365.113616499,2271851.81533314,740365.113616499
22,11267625.9685575,0,974376.904617273,2279781.72001075,974376.904617273
23,11241216.7179272,0,1019795.24760715,2283886.03778954,1019795.24760715
24,11210017.4806804,0,924977.651812413,2286416.12477482,924977.651812413
25,11181287.3579743,0,910269.467975909,2287644.18099048,910269.467975909
26,11141052.1468145,0,761496.819618128,2286762.35157456,761496.819618128
27,11103942.7273409,0,879201.810314818,2285984.75026809,879201.810314818
28,11076580.6745043,0,863229.909724151,2289350.07263728,863229.909724151
29,11045732.0774469,0,889442.849871538,2292562.04630636,889442.849871538
30,11031094.9210244,0,937844.366083991,2302772.48485013,937844.366083991
31,11008850.729284,0,850035.451692532,2308102.20590128,850035.451692532
32,10959954.2700135,0,576567.449946712,2305154.96598339,576567.449946712
33,10919554.4137231,0,713340.195782824,2304356.81589337,713340.195782824
34,10902120.9451747,0,929355.813103108,2312076.24188759,929355.813103108
35,10891402.2106962,0,979893.609434944,2318749.3912925,979893.609434944
36,10875192.2334479,0,885746.392814197,2322151.84508006,885746.392814197
37,10858067.321106,0,880931.099088603,2323228.79043775,880931.099088603
38,10830912.8688181,0,742606.907848569,2321365.37774696,742606.907848569
39,10811407.4369578,0,847183.362885258,2322634.32506873,847183.362885258
40,10791453.9513913,0,829625.499023893,2323765.59697191,829625.499023893
41,10773337.6053897,0,856737.256834035,2324541.26896544,856737.256834035
42,10764719.7248085,0,895171.840583296,2331036.32981116,895171.840583296
43,10746283.4049652,0,812976.930807418,2333793.78911429,812976.930807418
44,10702851.1743155,0,548838.701526373,2330081.5781312,548838.701526373
45,10664843.2105773,0,682110.538449687,2326987.04940914,682110.538449687
46,10648382.6469794,0,887131.838856199,2331288.54819978,887131.838856199
47,10639077.7100966,0,939167.994465258,2333567.48024566,939167.994465258
48,10613992.9504247,0,807231.641710739,2334986.23313319,807231.641710739
49,10600518.3124008,0,840083.610668358,2336324.82343719,840083.610668358
50,10574416.5705183,0,708146.168545424,2334696.97820806,708146.168545424
51,10556308.7175417,0,808880.400078005,2336231.26369213,808880.400078005
52,10536239.7483536,0,789569.085192657,2337576.99783831,789569.085192657
53,10515115.9890678,0,820254.556466628,2338821.8428796,820254.556466628
54,10505116.158025,0,852832.283529171,2345262.43801157,852832.283529171
55,10486676.7502389,0,774021.844666716,2348092.8134916,774021.844666716
56,10447074.2912223,0,520440.763709882,2344623.7834796,520440.763709882
57,10411748.2523884,0,650786.419892553,2341647.2744968,650786.419892553
58,10395709.9186046,0,845999.344601588,2345783.58964736,845999.344601588
59,10386224.6215006,0,898435.358704328,2347932.67277515,898435.358704328
60,10362208.359836,0,796517.422787262,2346527.6655468,796517.422787262
61,10340033.4639393,0,799515.693271751,2346040.45791082,799515.693271751
62,10309434.5082835,0,673507.193160588,2344633.46614948,673507.193160588
63,10288213.1595626,0,769603.472168087,2346247.04918741,769603.472168087
64,10272778.3388076,0,750013.623444355,2348007.44529182,750013.623444355
65,10254454.0327689,0,783265.401540117,2349259.79963529,783265.401540117
66,10246854.4941631,0,808884.02293841,2356401.84210363,808884.02293841
67,10225090.3691457,0,733429.273897055,2358857.95258679,733429.273897055
68,10182302.9448645,0,491089.891908981,2355699.49020804,491089.891908981
69,10143315.0495102,0,616325.32453647,2353157.92829508,616325.32453647
70,10122101.7926657,0,795064.839680869,2358294.52158432,795064.839680869
71,10110832.5330106,0,856166.971181647,2361153.6301662,856166.971181647
72,10088861.0430688,0,765151.980418707,2363014.17820899,765151.980418707
73,10072131.8144991,0,759330.180013358,2363743.07963405,759330.180013358
74,10035506.3479774,0,638477.369236142,2362631.19893964,638477.369236142
75,10013932.29011,0,722157.031598074,2364346.64645005,722157.031598074
76,9993958.39497402,0,711152.475367254,2364974.94091298,711152.475367254
77,9978885.64130625,0,745964.741145354,2366583.96777955,745964.741145354
78,9969426.2664088,0,762726.497246508,2373833.99640372,762726.497246508
79,9949633.62340075,0,695973.355371916,2377170.2934396,695973.355371916
80,9901890.31648466,0,462518.185501246,2373654.54348797,462518.185501246
81,9862562.83368038,0,589660.601182989,2371040.89092091,589660.601182989
82,9847726.52799329,0,757030.91494343,2375300.37105071,757030.91494343
83,9836225.63067986,0,813873.373136568,2378401.66171612,813873.373136568
84,9815903.30593773,0,725496.450410777,2377161.02102829,725496.450410777
85,9801958.94652068,0,720604.27992106,2377842.33686111,720604.27992106
86,9775830.3157723,0,606421.058441034,2376748.34580737,606421.058441034
87,9753289.99001405,0,689300.615475405,2378433.78941776,689300.615475405
88,9734180.95273357,0,672979.553268805,2378471.83729643,672979.553268805
89,9717970.41949989,0,709099.371398443,2379517.5444536,709099.371398443
90,9709709.42609695,0,718808.042569488,2386649.65079677,718808.042569488
91,9679211.9527202,0,650164.298421807,2387006.09943449,650164.298421807
92,9640176.73250424,0,435490.912356556,2383070.86723146,435490.912356556
93,9605442.0550057,0,560169.460435017,2380472.88506454,560169.460435017
94,9591930.47982364,0,722971.743087457,2385373.10096369,722971.743087457
95,9577708.03422723,0,771910.594312832,2387953.65676125,771910.594312832
96,9561517.31460463,0,686605.385757527,2389689.32212965,686605.385757527
97,9541844.124576,0,676060.105751093,2390583.05671963,676060.105751093
98,9517139.47411742,0,574446.849201256,2390243.68109832,574446.849201256
99,9495143.6605891,0,652274.26376627,2390687.44720623,652274.26376627
100,9478839.88838446,0,634763.58839538,2390292.22718322,634763.58839538
101,9464676.46147306,0,672993.619582066,2392190.28265845,672993.619582066
102,9454339.14730278,0,676112.161104367,2399395.01197326,676112.161104367
103,9435843.25358712,0,603840.483365937,2402735.18981395,603840.483365937
104,9382967.39323016,0,408537.226956394,2394699.10809487,408537.226956394
105,9341903.73979985,0,469040.779685041,2392246.29304549,469040.779685041
106,9325737.51819488,0,683786.153446509,2397034.36764363,683786.153446509
107,9316182.51752045,0,730705.608082109,2399707.49100778,730705.608082109
108,9293034.36683274,0,649532.138941944,2400425.19624692,649532.138941944
109,9269064.86890998,0,645719.334134108,2399557.14162863,645719.334134108
110,9234044.56772048,0,542840.474909827,2399338.76501196,542840.474909827
111,9212681.55287416,0,614173.830963088,2401504.94058306,614173.830963088
112,9188675.13559113,0,595340.073746119,2403275.86101121,595340.073746119
113,9163565.45980981,0,635904.528609245,2400670.95407197,635904.528609245
114,9151820.33746332,0,631516.335147129,2406371.58821718,631516.335147129
115,9125037.01838878,0,538071.789622945,2409804.90672918,538071.789622945
116,9070977.44385768,0,383178.844198983,2406206.34157487,383178.844198983
117,9035646.08536986,0,481417.229356834,2402706.02346266,481417.229356834
118,9023265.07819568,0,643024.604873826,2408471.6054578,643024.604873826
119,9015578.95848959,0,692139.047546154,2412189.89589901,692139.047546154
120,8999500.89462466,0,612756.55405147,2413765.10058918,612756.55405147
121,8974079.86128218,0,583341.848969648,2414376.41668444,583341.848969648
122,8944944.68806401,0,511986.718557378,2414157.66138199,511986.718557378
123,8922188.36675204,0,576920.036519363,2415712.85246557,576920.036519363
124,8894290.41142423,0,560747.322967629,2417237.45483618,560747.322967629
125,8880816.75825972,0,599520.669519283,2418332.48802093,599520.669519283
126,8868270.90454971,0,572769.163894452,2426612.06677797,572769.163894452
127,8846438.4253223,0,531170.250101603,2429717.37190632,531170.250101603
128,8808614.08073081,0,358675.918746313,2425601.07750643,358675.918746313
129,8775562.85572505,0,463387.122768569,2421242.81016408,463387.122768569
130,8752664.28737727,0,603317.140222542,2426556.00803948,603317.140222542
131,8742331.66294688,0,652486.300316992,2429873.24007692,652486.300316992
132,8722357.41290935,0,576370.062118627,2431734.40184911,576370.062118627
133,8705629.7530046,0,569637.939589757,2432665.53726156,569637.939589757
134,8669968.52035177,0,480737.463047636,2432122.58508567,480737.463047636
135,8646598.16098723,0,540334.789183074,2432924.87459478,540334.789183074
136,8625929.03104905,0,525701.12301133,2434257.17283096,525701.12301133
137,8606611.75357573,0,556533.575651856,2431401.72153253,556533.575651856
138,8591173.81408512,0,543199.023788442,2438435.67226659,543199.023788442
139,8575656.31353321,0,504561.843409604,2440273.94501791,504561.843409604
140,8536161.51471567,0,333843.604684916,2435989.19108736,333843.604684916
141,8502822.02140831,0,437291.685352578,2433207.09386226,437291.685352578
142,8485106.43558103,0,565547.070496626,2439021.28740885,565547.070496626
143,8460801.15694257,0,612043.235674829,2441460.19405995,612043.235674829
144,8432535.42527864,0,539021.348340172,2438941.6335275,539021.348340172
145,8410183.01720408,0,540687.656433526,2437312.57946134,540687.656433526
146,8376868.36423608,0,441617.411981132,2437251.32294572,441617.411981132
147,8357127.07877221,0,504644.791018379,2439561.74130479,504644.791018379
148,8332554.95145983,0,490396.248580881,2441044.19394477,490396.248580881
149,8311708.18947919,0,520193.193000263,2440590.91453732,520193.193000263
150,8298755.09095874,0,497667.168096937,2448227.75675654,497667.168096937
151,8279792.36474319,0,468239.439108629,2450308.33794302,468239.439108629
152,8238923.4960187,0,309361.328610832,2446348.04420854,309361.328610832
153,8204069.59109531,0,410251.97141773,2442541.76087982,410251.97141773
154,8181791.73216382,0,528094.860666198,2441963.99895431,528094.860666198
155,8168021.74938096,0,573021.354544329,2444627.64000846,573021.354544329
156,8151731.80969962,0,503741.201209065,2445758.61597018,503741.201209065
157,8134109.00658203,0,500882.914294425,2446361.86366595,500882.914294425
158,8105033.62065258,0,419285.794502004,2435081.50001154,419285.794502004
159,8073885.02834365,0,469375.454606937,2431761.9356572,469375.454606937
160,8050801.36290427,0,455077.526810183,2432754.06840887,455077.526810183
161,8027135.78861674,0,489729.409972338,2432814.97708241,489729.409972338
162,8017034.48750784,0,464845.358561534,2438082.46103327,464845.358561534
163,7999949.63828661,0,432360.751828331,2439981.11182991,432360.751828331
164,7955960.08249333,0,285574.29804596,2435212.57857206,285574.29804596
165,7920669.88494225,0,382220.947645284,2432182.82779867,382220.947645284
166,7904832.83376518,0,490945.830767009,2437855.43070428,490945.830767009
167,7893833.43991579,0,534996.439931864,2439187.68750857,534996.439931864
168,7866106.32041888,0,467677.341713951,2439634.62808047,467677.341713951
169,7845186.71816507,0,465805.624380222,2438430.21037363,465805.624380222
170,7816817.52376047,0,389152.468270114,2437429.46692346,389152.468270114
171,7794546.30856972,0,434796.316969894,2438240.21884928,434796.316969894
172,7776462.4407547,0,420941.148648912,2438396.78757373,420941.148648912
173,7753137.2732304,0,455019.468653738,2438591.4488165,455019.468653738
174,7738759.37741656,0,428334.375929717,2446034.14269254,428334.375929717
175,7710317.42845157,0,397689.71978878,2447427.83655077,397689.71978878
176,7676132.52137393,0,262936.526396509,2443225.16562054,262936.526396509
177,7640841.50008193,0,354829.852259684,2440561.31328386,354829.852259684
178,7620080.04088528,0,434305.927888356,2445498.93869139,434305.927888356
179,7607055.99792653,0,497616.612618234,2449061.33956558,497616.612618234
180,7588464.17065976,0,433668.321527957,2449298.86107481,433668.321527957
181,7570239.14215755,0,430376.144438376,2448513.80231289,430376.144438376
182,7534859.03590408,0,362644.931932698,2443101.22142824,362644.931932698
183,7506667.01535985,0,401659.272378958,2442915.83247715,401659.272378958
184,7474849.63874489,0,388278.099131949,2433778.43576356,388278.099131949
185,7447090.36890011,0,417305.231274438,2434143.05918768,417305.231274438
186,7431226.95197926,0,388813.006721984,2440847.23951897,388813.006721984
187,7412078.3091919,0,358635.259789839,2441578.14026561,358635.259789839
188,7372593.09103028,0,240966.625444653,2437290.46512143,240966.625444653
189,7336107.28190379,0,328908.23759203,2431499.39208009,328908.23759203
190,7320995.33044146,0,409278.317187273,2436010.26781121,409278.317187273
191,7308063.5991544,0,454705.662066577,2439721.1874209,454705.662066577
192,7286702.63817381,0,403956.014170677,2439471.21743311,403956.014170677
193,7266043.05200276,0,401758.877600204,2436165.16537713,401758.877600204
194,7237786.29308097,0,336207.040773635,2432529.5245648,336207.040773635
195,7203841.07396931,0,359091.340178649,2428940.92837612,359091.340178649
196,7184803.06943255,0,358333.934362725,2428155.58809504,358333.934362725
197,7166207.01713401,0,386621.474666672,2430168.94336658,386621.474666672
198,7148102.04986627,0,354470.860643587,2437065.5880996,354470.860643587
199,7128925.61539653,0,329479.665609805,2437978.86884972,329479.665609805
200,7092387.79810402,0,219549.652084908,2431696.88545342,219549.652084908
201,7058165.57996036,0,303008.843818366,2428558.61673149,303008.843818366
202,7037868.773629,0,382813.955708525,2426998.04234939,382813.955708525
203,7017146.46555836,0,417771.161152606,2423941.13491729,417771.161152606
204,6996276.88924337,0,372260.518798249,2426119.20019977,372260.518798249
205,6972469.12969965,0,371053.475414318,2422080.5870986,371053.475414318
206,6944097.41230471,0,309592.964572006,2417693.14654107,309592.964572006
207,6923904.10928547,0,335107.569487698,2416046.19006604,335107.569487698
208,6900928.32660004,0,325971.145736267,2409750.65299579,325971.145736267
209,6879374.52205346,0,354596.868894852,2410862.41838612,354596.868894852
210,6865501.80309862,0,320462.477047396,2415788.57223073,320462.477047396
211,6843989.37413663,0,289602.288216083,2416099.24946564,289602.288216083
212,6808506.64153246,0,198732.107439767,2411920.40286644,198732.107439767
213,6775019.89377974,0,278488.150542488,2408492.27517894,278488.150542488
214,6756783.99341236,0,351345.583219001,2411861.03309116,351345.583219001
215,6744453.01529341,0,387506.072359573,2411930.3298926,387506.072359573
216,6718647.17287419,0,342011.404634724,2413645.15205034,342011.404634724
217,6700109.83870083,0,339719.628044345,2413004.37398288,339719.628044345
218,6674279.78003305,0,283814.810228548,2408197.38487487,283814.810228548
219,6653690.83350501,0,309422.740490947,2407141.6354251,309422.740490947
220,6628822.77613062,0,291107.090669899,2402637.58178049,291107.090669899
221,6610130.66780408,0,324707.841104894,2401391.97110194,324707.841104894
222,6589183.17726866,0,275794.052435712,2400579.64797859,275794.052435712
223,6572252.21791173,0,256617.396153733,2400021.18554046,256617.396153733
224,6534611.27977829,0,178700.766492062,2393757.94214312,178700.766492062
225,6503298.8065928,0,254160.261817824,2390490.2518429,254160.261817824
226,6485757.554832,0,320220.34046255,2395088.20963467,320220.34046255
227,6467406.32063032,0,352638.776151345,2396674.5459184,352638.776151345
228,6449632.88799812,0,313346.054193401,2396789.84452829,313346.054193401
229,6427306.61974172,0,307910.960442431,2392985.0681517,307910.960442431
230,6404231.52760796,0,258269.061918794,2390104.70712836,258269.061918794
231,6376094.10945977,0,280381.096474814,2390270.53065296,280381.096474814
232,6356466.20168564,0,264928.440618855,2388061.1947181,264928.440618855
233,6329635.11363345,0,292266.67001745,2383851.00546882,292266.67001745
234,6311829.08166005,0,252131.938105751,2378135.50853152,252131.938105751
235,6293673.53663201,0,236914.740374406,2378917.5304185,236914.740374406
236,6263333.8706939,0,159782.478727934,2371702.73626053,159782.478727934
237,6233421.32271644,0,230723.610955089,2368649.1479099,230723.610955089
238,6211824.49792555,0,285165.377761654,2362861.82402348,285165.377761654
239,6196372.99242093,0,322168.722111439,2357925.10906425,322168.722111439
240,6179649.71519108,0,284898.58813018,2357639.33136883,284898.58813018
241,6155690.29071141,0,274394.834105748,2356375.8002038,274394.834105748
242,6129690.97724934,0,229886.671934881,2352672.3910665,229886.671934881
243,6107374.52019713,0,252405.73394041,2350542.99003793,252405.73394041
244,6083356.23670249,0,240988.618879776,2347944.65538434,240988.618879776
245,6064977.05012082,0,258331.827561669,2345745.75572142,258331.827561669
246,6050594.85011246,0,222606.643035946,2346539.96851171,222606.643035946
247,6033284.9836158,0,212126.094966835,2345220.18292107,212126.094966835
248,5999126.06215313,0,141946.687221614,2332576.73626564,141946.687221614
249,5965698.69548802,0,209680.355543201,2325760.46105803,209680.355543201
250,5946417.06010276,0,259379.696443274,2322513.01539461,259379.696443274
251,5921526.3672547,0,288732.190911943,2319856.0146008,288732.190911943
252,5899966.76709993,0,257719.96483289,2319618.90910733,257719.96483289
253,5886969.54536882,0,252678.380700389,2317238.04832614,252678.380700389
254,5859994.59136041,0,209988.518815702,2313608.1864861,209988.518815702
255,5836985.04845348,0,220793.597097416,2311351.78478616,220793.597097416
256,5816880.42832182,0,213516.739972281,2304415.39112428,213516.739972281
257,5800282.89860363,0,234674.837679125,2301364.21585575,234674.837679125
258,5776853.29809123,0,185155.972156831,2301455.98032968,185155.972156831
259,5760432.46935551,0,185793.39835515,2299788.6932364,185793.39835515
260,5725054.0764557,0,124782.373853733,2293010.430473,124782.373853733
261,5686803.55848726,0,182760.019542597,2289063.89388678,182760.019542597
262,5670303.54847556,0,231674.334873394,2287720.36138716,231674.334873394
263,5658847.69270144,0,260405.901931094,2284916.66303422,260405.901931094
264,5641128.34729123,0,231535.67244952,2282487.07702517,231535.67244952
265,5622245.24830378,0,220742.952673569,2278024.46280866,220742.952673569
266,5600170.48492356,0,188245.7118753,2271168.44193607,188245.7118753
267,5564892.82634814,0,199837.245570452,2267470.24228011,199837.245570452
268,5539992.3825831,0,185280.941117204,2257227.69821481,185280.941117204
269,5523407.52028144,0,190469.983094654,2257360.87776074,190469.983094654
270,5503817.63848091,0,162870.06750773,2255715.31462895,162870.06750773
271,5487558.79554556,0,159773.637177509,2254421.480098,159773.637177509
272,5460363.25982473,0,108235.462831709,2247249.32146896,108235.462831709
273,5436058.07978974,0,167844.394390855,2241767.84746417,167844.394390855
274,5421257.66714909,0,204166.131633941,2243400.66492501,204166.131633941
275,5401866.21903744,0,215960.332253534,2242707.60149269,215960.332253534
276,5385497.79186404,0,207222.39685321,2240406.71193874,207222.39685321
277,5364302.69830209,0,201953.911152954,2236680.57753002,201953.911152954
278,5340390.04302267,0,144960.906607271,2229747.73442982,144960.906607271
279,5319480.66666582,0,179567.213645479,2228899.69297543,179567.213645479
280,5295600.82595869,0,164571.46129584,2225356.8319464,164571.46129584
281,5274751.84421861,0,177747.887833274,2222698.79617285,177747.887833274
282,5259423.91716277,0,130730.471202438,2226321.08024986,130730.471202438
283,5241192.4647734,0,131965.930061849,2226040.48625307,131965.930061849
284,5205359.05267899,0,88824.3104545519,2210886.6556196,88824.3104545519
285,5180819.44108229,0,149973.710920708,2205544.64744138,149973.710920708
286,5159257.58076937,0,180127.457540806,2208079.23168384,180127.457540806
287,5145029.33182288,0,201151.707186236,2208269.67153103,201151.707186236
288,5126078.35481265,0,176713.032212132,2209662.25017143,176713.032212132
289,5110897.59767138,0,182323.858849916,2206197.30503012,182323.858849916
290,5085535.552768,0,138545.63989001,2198488.91129505,138545.63989001
291,5064412.89780375,0,158706.332185164,2192461.90816473,158706.332185164
292,5041067.22886759,0,145343.531129912,2191034.98671671,145343.531129912
293,5024469.7561692,0,149969.195449607,2192076.25971078,149969.195449607
294,4997244.30094224,0,117913.169394986,2192411.53408358,117913.169394986
295,4976106.69087814,0,112181.833041476,2192113.53444859,112181.833041476
296,4944813.49538729,0,78920.0191154232,2182002.83719006,78920.0191154232
297,4919389.87252893,0,130429.583005484,2178793.2845381,130429.583005484
298,4901040.6175534,0,156557.184017903,2180636.75995701,156557.184017903
299,4890350.06039046,0,178540.430294528,2179993.59511455,178540.430294528
300,4876712.38342405,0,158648.826810337,2181573.39135684,158648.826810337
301,4859790.68073332,0,160752.49936574,2180000.39563902,160752.49936574
302,4834672.66398633,0,124810.459227292,2174110.98240402,124810.459227292
