"Month","Total_Premiums","Total_Claims","Total_Commission","Total_Ren","Total_Adm"
1,571670.381224002,203898.56185496,5203911.56008614,5177288.37067062,40704711.7520262
2,1132777.2341681,396071.540421564,5150496.45918511,5118559.12446684,40704711.7520262
3,1660457.63471506,569399.683247112,4855082.73074031,4818081.08237753,40704711.7520262
4,2192272.86409512,738555.589857285,4909074.44443763,4866930.85162625,40704711.7520262
5,2731254.61104426,905946.263652858,4985673.35663255,4938288.14900832,40704711.7520262
6,3276045.49419277,1055366.52765266,5099400.8689466,5051690.17361148,40704711.7520262
7,3755381.2510219,1181551.57192539,4520775.83130248,4470958.52257258,40704711.7520262
8,4166416.03982293,1313546.93132217,3839960.84892318,3780818.79310054,40704711.7520262
9,4643747.28586439,1460609.38603759,4495696.26887996,4431812.35455172,40704711.7520262
10,5181506.16465169,1628745.20227731,5073179.09017556,5001215.86849831,40704711.7520262
11,5760741.71005666,1804191.84043468,5503982.39119651,5426292.2842754,40704711.7520262
12,6382692.18088572,1986814.23300351,5941706.19331366,5857893.60368364,40704711.7520262
13,6316691.61958206,1911159.67415653,1218506.70259123,1155991.32849277,40704711.7520262
14,6264024.43643591,1850821.26644427,1317800.18714494,1255327.11361849,40704711.7520262
15,6220867.71006881,1808377.7201684,1356481.26598844,1293982.50601795,40704711.7520262
16,6183866.7155315,1774511.37581224,1461753.62827034,1399194.46984074,40704711.7520262
17,6151915.48864295,1746529.29264274,1574394.461185,1511743.29453272,40704711.7520262
18,6120430.90886435,1721034.19267316,1648249.1867992,1587546.33986141,40704711.7520262
19,6085392.31175139,1696317.13282375,1477424.86510531,1417759.78612332,40704711.7520262
20,6045111.04516858,1672277.62137959,1260440.21271944,1198659.42843192,40704711.7520262
21,6010186.89923649,1650927.5605689,1517854.06395218,1456015.64244825,40704711.7520262
22,5981215.35493558,1632369.33619443,1758724.48273006,1695621.5868813,40704711.7520262
23,5956628.68786958,1616077.89893067,1949034.03552999,1885737.86350551,40704711.7520262
24,5935346.72208542,1601859.44525967,2136323.32026847,2072792.90668733,40704711.7520262
25,5900713.45880193,1587026.39625113,307616.158969014,250531.183714156,40704711.7520262
26,5866759.36298335,1572914.29369026,348370.568455272,291329.952317422,40704711.7520262
27,5831629.01691458,1558889.90015472,362870.081889552,305882.923120642,40704711.7520262
28,5797759.2224167,1545733.76768669,403631.577786375,346685.706393058,40704711.7520262
29,5765268.47059795,1533465.18687935,442460.830818229,385542.820139973,40704711.7520262
30,5734212.34077245,1521764.18876052,477344.138395524,421798.918420286,40704711.7520262
31,5699053.92258553,1508936.41912909,441394.454144701,386634.20342801,40704711.7520262
32,5658864.2296007,1495152.97524169,392733.911236068,336684.182600523,40704711.7520262
33,5624229.94752509,1483551.17511165,468923.470502132,412932.1268098,40704711.7520262
34,5594537.30989725,1474095.86858502,535612.269314861,478873.980739511,40704711.7520262
35,5568652.3248743,1466226.6426755,584698.797723563,527917.302852607,40704711.7520262
36,5546568.35105071,1459928.48032325,630438.076094257,573577.628277438,40704711.7520262
37,5513838.2319721,1451215.68825349,461483.150123099,408785.439983654,40704711.7520262
38,5484022.91755653,1443516.10339994,469842.703843922,417240.986731378,40704711.7520262
39,5455242.97869704,1436118.17919902,457060.718321664,404544.46333563,40704711.7520262
40,5429813.08056818,1429898.80858633,472037.82911123,419576.228497374,40704711.7520262
41,5407866.5021051,1424901.91883321,488605.363879048,436166.256621117,40704711.7520262
42,5389487.25552597,1420969.50199207,505209.18772003,453708.382643244,40704711.7520262
43,5369163.13141001,1416111.49500238,458081.697990706,407100.128868778,40704711.7520262
44,5345673.82192515,1410182.8362237,400769.790752129,348855.478279533,40704711.7520262
45,5329279.95691755,1406873.23929061,462804.06718706,410869.082777572,40704711.7520262
46,5319625.20422851,1406122.2042809,519153.394118463,466605.828296197,40704711.7520262
47,5315801.73680243,1407455.54582459,562716.428239778,510018.945720179,40704711.7520262
48,5317967.060024,1410911.10493977,606708.86946666,553806.386392582,40704711.7520262
49,5309711.08006399,1405682.53429045,471569.82954612,421411.877526354,40704711.7520262
50,5302011.84272066,1400800.81290071,476910.145527995,426701.447683036,40704711.7520262
51,5293118.52395784,1395774.77483866,461705.225989074,411454.614870024,40704711.7520262
52,5285331.18695119,1391235.75012209,473728.208684237,423424.10774461,40704711.7520262
53,5278778.48303452,1387211.61478555,487391.558957118,437021.139271035,40704711.7520262
54,5273536.48435126,1383621.11706571,501425.055198128,451644.754013476,40704711.7520262
55,5264366.67576303,1379055.61056038,453812.62742897,404348.805973139,40704711.7520262
56,5250326.77741479,1373393.68989921,396094.035551022,345944.582883527,40704711.7520262
57,5241409.99723031,1369295.6213473,455432.932688019,405239.753102368,40704711.7520262
58,5237099.09247182,1366665.25829016,509175.644391466,458520.980166817,40704711.7520262
59,5236378.31731976,1365163.62396034,550685.829438504,499899.998075023,40704711.7520262
60,5239288.49083753,1364797.3313604,592750.741871616,541799.060693691,40704711.7520262
61,5232053.58578163,1361643.3575988,460733.483586339,411716.724964279,40704711.7520262
62,5224313.11243962,1358762.13133337,465930.521347119,416889.169880972,40704711.7520262
63,5215358.74688743,1355749.01999512,451062.610369846,402005.981770383,40704711.7520262
64,5207484.16412283,1353253.44974093,462782.28465137,413699.607565252,40704711.7520262
65,5200816.68656887,1351306.76427313,476103.196290854,426982.497435316,40704711.7520262
66,5195433.03363707,1349898.05384597,489962.413974821,441267.815823071,40704711.7520262
67,5186351.97293491,1347547.64132957,443538.808537929,395085.205254128,40704711.7520262
68,5172521.22877224,1344003.94955811,386965.416017253,338051.565983863,40704711.7520262
69,5163521.85012141,1342062.26542667,444884.990369725,395955.462942795,40704711.7520262
70,5159090.80234778,1341612.33534371,497242.559738953,447989.050759331,40704711.7520262
71,5158080.81928344,1342344.12204287,537752.677501468,488401.696125256,40704711.7520262
72,5160665.91977265,1344278.61181552,578805.641393262,529323.835744394,40704711.7520262
73,5152616.32564266,1343560.22704419,449202.908020642,401786.655317609,40704711.7520262
74,5145687.04403032,1343166.4304672,454251.629364808,406836.262915426,40704711.7520262
75,5137545.34826613,1342529.48110794,439726.328209137,392322.611764414,40704711.7520262
76,5130450.54506023,1342313.94298445,451133.005788032,403731.161779773,40704711.7520262
77,5124529.0501407,1342554.65947992,464100.778203175,416689.839335421,40704711.7520262
78,5119857.01466643,1343269.9637855,477877.214617149,430626.251494078,40704711.7520262
79,5111485.80277043,1342939.08132416,432720.321692272,385581.685920106,40704711.7520262
80,5098396.04197436,1341270.10806715,377214.286800626,329949.961957311,40704711.7520262
81,5090094.15266669,1341146.19420026,433678.062111561,386428.301262889,40704711.7520262
82,5086277.65458313,1342437.73191101,484560.703333941,437183.224073441,40704711.7520262
83,5085840.42556302,1344847.17431966,524044.113085794,476605.057315287,40704711.7520262
84,5088931.31936573,1348395.54753105,564058.778875331,516525.526830506,40704711.7520262
85,5082270.44596701,1349193.78634713,437916.44509594,391477.585109731,40704711.7520262
86,5077286.71706953,1350234.4899807,442818.601709892,396400.8674246,40704711.7520262
87,5071067.04278888,1350887.84235962,428655.56420608,382270.409108197,40704711.7520262
88,5065880.3937368,1351827.21458361,439747.053503286,393385.383103657,40704711.7520262
89,5061854.8302686,1353090.9418569,452358.609332848,406010.161734782,40704711.7520262
90,5059067.45230835,1354702.22237319,465933.22899485,419587.302376555,40704711.7520262
91,5052356.73251565,1355131.71123545,422028.447890291,375720.692398429,40704711.7520262
92,5040796.17839505,1354101.36263551,367766.003420728,321540.191471098,40704711.7520262
93,5034235.91408013,1354533.10434504,422734.007213426,376545.413778945,40704711.7520262
94,5032166.56949897,1356276.58988787,472170.795782382,425978.847328847,40704711.7520262
95,5033587.88331085,1359035.40218301,510603.251978041,464376.696612837,40704711.7520262
96,5038540.2474489,1362821.6147787,549554.726597897,503261.770445916,40704711.7520262
97,5033523.7186117,1364145.76869059,427176.892874139,380908.158518221,40704711.7520262
98,5028990.78560829,1365599.47278548,431951.729005878,385701.869277256,40704711.7520262
99,5023217.63538661,1366648.52346336,418182.829957662,371963.386611772,40704711.7520262
100,5018471.86805258,1367995.52113271,428975.387212753,382777.293198857,40704711.7520262
101,5014881.50398665,1369680.06574575,441246.495601699,395059.508475214,40704711.7520262
102,5012523.50525663,1371725.99700317,454454.639065593,408267.891813905,40704711.7520262
103,5006239.46833044,1372533.70262759,411757.488789744,365606.847777606,40704711.7520262
104,4995103.70948761,1371819.01816445,358982.254406029,312911.924238991,40704711.7520262
105,4988960.11928173,1372633.31464874,412443.582679358,366408.571525227,40704711.7520262
106,4987299.5964342,1374820.54080034,460528.544823808,414488.315508107,40704711.7520262
107,4989122.39036924,1378072.15338071,497913.588251464,451836.753087011,40704711.7520262
108,4994470.23635235,1382401.69585026,535805.711733541,489660.440096054,40704711.7520262
109,4989535.66865464,1383837.97542808,415810.865697851,369689.53691399,40704711.7520262
110,4985081.04066167,1385403.19645535,420451.259593922,374349.252948415,40704711.7520262
111,4979395.47850929,1386553.91854661,407098.898715655,361027.72392233,40704711.7520262
112,4974726.18306883,1388005.71780653,417576.404948872,371527.063124168,40704711.7520262
113,4971200.09168784,1389799.54487726,429488.726452966,383451.043505454,40704711.7520262
114,4968893.65124748,1391960.26763647,442310.602664011,396273.693120932,40704711.7520262
115,4962694.01014321,1392861.55940419,400888.256142742,354887.915852197,40704711.7520262
116,4951683.71136535,1392211.04346297,349683.717145291,303764.140514372,40704711.7520262
117,4945620.41693172,1393113.2288891,401554.095906803,355670.391457723,40704711.7520262
118,4943999.48360995,1395409.00256842,448211.042141872,402322.892810819,40704711.7520262
119,4945829.98648766,1398784.20493148,484488.919884201,438565.030542101,40704711.7520262
120,4951152.41335706,1403252.38636334,521260.779373937,475269.465864114,40704711.7520262
121,4946029.9574354,1404685.96110909,403702.525207973,357736.401177849,40704711.7520262
122,4941381.40557326,1406246.87191583,408200.013974338,362254.949160408,40704711.7520262
123,4935524.63248901,1407386.47636656,395289.949020759,349377.314951977,40704711.7520262
124,4930672.48162114,1408827.6765988,405432.507774891,359543.301460351,40704711.7520262
125,4926949.51773421,1410611.81716035,416963.132584128,371087.196212731,40704711.7520262
126,4924430.81499111,1412764.02318969,429373.758520744,383500.234153677,40704711.7520262
127,4918082.19730449,1413641.97130516,389305.068861428,343469.459474682,40704711.7520262
128,4907000.22909791,1412951.24700675,339769.083134097,294015.23859189,40704711.7520262
129,4900792.04575098,1413827.47624407,389949.152009327,344232.458254166,40704711.7520262
130,4898960.55566629,1416108.85484434,435088.237158046,389368.617722198,40704711.7520262
131,4900530.21219945,1419477.07845144,470188.449636783,424434.783686749,40704711.7520262
132,4905541.00760639,1423944.93562133,505768.177156904,459948.955285791,40704711.7520262
133,4899980.93715996,1425568.19886858,391675.534043254,345881.922817997,40704711.7520262
134,4894886.81627855,1427325.84411492,396026.277161042,350254.203934359,40704711.7520262
135,4888613.68945498,1428653.43219283,383552.026532202,337812.83388576,40704711.7520262
136,4883323.14782643,1430293.80020762,393356.581432232,347641.334736631,40704711.7520262
137,4879137.10130864,1432289.31259246,404502.71399614,358801.329560893,40704711.7520262
138,4876128.97130337,1434665.60177839,416499.39185385,370801.089220142,40704711.7520262
139,4869380.98020629,1435733.79175342,377775.282107057,332115.423617273,40704711.7520262
140,4858010.91712234,1435167.63874171,329897.626510396,284319.879416014,40704711.7520262
141,4851404.17573353,1436189.41669187,378392.532306605,332852.514399453,40704711.7520262
142,4849074.82536655,1438633.84877621,422018.403666307,376476.251901814,40704711.7520262
143,4850069.51991846,1442173.40098714,455944.330219951,410369.095108091,40704711.7520262
144,4854427.03383415,1446820.7765577,490335.678224194,444696.02455726,40704711.7520262
145,4850017.95605019,1448469.90671144,379615.673926851,333993.264460049,40704711.7520262
146,4846069.73620971,1450231.97650844,383825.761331332,338216.569242214,40704711.7520262
147,4840905.78149166,1451531.20895209,371794.524606686,326210.265597741,40704711.7520262
148,4836730.21409854,1453124.47092594,381267.376158934,335699.027062611,40704711.7520262
149,4833667.46974595,1455051.48228447,392035.704766736,346473.069229641,40704711.7520262
150,4831792.48438663,1457335.35166948,403625.593515529,358057.76329687,40704711.7520262
151,4826092.22969034,1458243.07717059,366255.571453035,320718.78394203,40704711.7520262
152,4815667.73355372,1457490.90879514,320045.600561943,274584.571715732,40704711.7520262
153,4810086.73061309,1458430.97685948,366859.694412568,321429.170975232,40704711.7520262
154,4808853.82528395,1460896.24924604,408977.988409432,363537.34317151,40704711.7520262
155,4810997.0757246,1464552.60375624,441736.696380631,396254.412565078,40704711.7520262
156,4816555.95281492,1469417.33004502,474947.543518454,429391.709678026,40704711.7520262
157,4812820.34627512,1471362.69336979,367183.398474885,321638.80583016,40704711.7520262
158,4809540.81436477,1473502.19023431,371249.700732429,325712.335627388,40704711.7520262
159,4805023.89865369,1475237.57888691,359678.303534284,314160.207446283,40704711.7520262
160,4801496.36998099,1477348.57201446,368809.88795417,323301.981331512,40704711.7520262
161,4799083.98507132,1479888.96780746,379189.184447529,333681.180331348,40704711.7520262
162,4797862.48377196,1482894.65291494,390359.992378356,344840.873476602,40704711.7520262
163,4792768.02123918,1484557.95494928,354390.579771189,308897.330120081,40704711.7520262
164,4782892.93437029,1484560.32338137,309905.737736669,264483.965918721,40704711.7520262
165,4777902.53135811,1486239.339492,354982.073319915,309585.771720098,40704711.7520262
166,4777296.12282879,1489418.88798293,395541.10040403,350128.977832722,40704711.7520262
167,4780091.57451742,1493752.67237989,427091.926257715,381631.975876231,40704711.7520262
168,4786328.55303613,1499253.16857948,459080.602916606,413540.419852885,40704711.7520262
169,4781732.04476521,1501058.13226828,354295.691170184,308771.996071954,40704711.7520262
170,4777586.04242163,1502972.75413513,358202.79198483,312691.551922458,40704711.7520262
171,4772244.73675298,1504406.17323588,347099.689636183,301612.766487441,40704711.7520262
172,4767872.76255473,1506123.90973072,355866.899411733,310395.288444433,40704711.7520262
173,4764592.18698668,1508164.57348374,365831.729367995,320365.230399886,40704711.7520262
174,4762476.42525362,1510549.23087522,376556.36211902,331084.051791396,40704711.7520262
175,4756602.67117026,1511565.1383074,342032.60741171,296591.057302882,40704711.7520262
176,4746088.87518741,1510903.23693105,299332.134779525,253966.447944933,40704711.7520262
177,4740331.17247411,1511910.30823868,342593.480712056,297258.107816696,40704711.7520262
178,4738842.33830959,1514413.770914,381521.383318065,336175.439147852,40704711.7520262
179,4740667.19072759,1518074.07354886,411804.888923832,366416.6768589,40704711.7520262
180,4745844.01819138,1522905.06240143,442510.115351993,397047.551183301,40704711.7520262
181,4741646.71758964,1525380.04538491,341002.45222184,295554.850882488,40704711.7520262
182,4737896.55523778,1528001.45901808,344751.600255885,299314.954662147,40704711.7520262
183,4732941.57769693,1530136.69220846,334134.558939611,288720.850399463,40704711.7520262
184,4728953.36512119,1532619.055851,342533.352273096,297133.521414931,40704711.7520262
185,4726054.26743217,1535496.31396995,352078.583893664,306682.378469862,40704711.7520262
186,4724317.94888813,1538797.51905546,362351.303353044,316947.748565655,40704711.7520262
187,4718804.49812219,1540629.16016043,329317.114470519,283943.084550194,40704711.7520262
188,4708629.11666149,1540651.11775368,288453.365485725,243154.32699979,40704711.7520262
189,4703221.01159877,1542478.14010331,329857.454739147,284587.547538041,40704711.7520262
190,4702091.11443786,1545924.74215632,367117.418495086,321835.485596231,40704711.7520262
191,4704280.70677389,1550624.9481737,396106.891460561,350781.035593086,40704711.7520262
192,4709827.9583481,1556594.39002017,425502.026786504,380099.963086443,40704711.7520262
193,4704636.49828643,1558526.91832311,327056.609012033,281669.674965713,40704711.7520262
194,4699885.42574485,1560600.1407867,330640.570951483,285264.77962808,40704711.7520262
195,4693976.95742035,1562197.67608624,320532.905654109,275180.312846263,40704711.7520262
196,4689012.48096421,1564131.99737684,328546.184547892,283207.715396573,40704711.7520262
197,4685110.08450309,1566449.53728571,337652.217763687,292317.597752641,40704711.7520262
198,4682340.77987888,1569178.47422747,347451.820257225,302110.049674078,40704711.7520262
199,4675925.08265109,1570458.0100436,315977.352739003,270665.458528291,40704711.7520262
200,4665007.23688954,1569957.07419331,277037.274448791,231800.901030068,40704711.7520262
201,4658710.14987503,1571199.24613801,316496.100942947,271289.221609734,40704711.7520262
202,4656560.09699201,1574001.72968424,352008.521792603,306789.837782884,40704711.7520262
203,4657629.11066801,1578005.92147845,379641.56212136,334379.073721573,40704711.7520262
204,4661953.79822548,1583225.28362214,407662.996107718,362324.316905367,40704711.7520262
205,4656847.36412507,1583961.85980738,313099.942624628,267773.237613363,40704711.7520262
206,4652175.7253027,1584820.39438102,316517.072099951,271198.350560516,40704711.7520262
207,4646350.57370784,1585221.13861767,306918.906513093,261620.448420159,40704711.7520262
208,4641461.43045483,1585922.27581725,314544.192924919,269256.868904486,40704711.7520262
209,4637625.72042688,1586964.85849565,323208.342855935,277921.808744216,40704711.7520262
210,4634914.00553647,1588372.72653652,332531.983559664,287235.160356067,40704711.7520262
211,4628574.54016996,1588436.90714268,302621.449454949,257351.936446084,40704711.7520262
212,4617756.88385415,1586848.6270348,265610.211920077,220414.33579728,40704711.7520262
213,4611531.23673479,1586906.94981309,303118.306548007,257949.471588832,40704711.7520262
214,4609426.07494535,1588440.67865075,336878.627530567,291695.036572504,40704711.7520262
215,4610518.44380753,1591114.18422205,363152.101649693,317921.388718429,40704711.7520262
216,4614844.45670542,1594940.31772705,389796.970862903,344486.383362765,40704711.7520262
217,4607661.86772395,1595313.72400654,298824.287172601,253534.354204524,40704711.7520262
218,4600906.77429352,1595825.16629117,302060.228994209,256787.009441179,40704711.7520262
219,4593093.88906533,1595901.50331252,292972.815341797,247728.381148698,40704711.7520262
220,4586174.41551272,1596297.57727392,300191.744549116,254967.105461232,40704711.7520262
221,4580258.00928588,1597056.17399898,308394.488301012,263179.452496769,40704711.7520262
222,4575410.46602497,1598203.09078257,317221.917345716,272005.56969837,40704711.7520262
223,4567192.98351752,1598023.08459356,288900.153215163,243719.431196543,40704711.7520262
224,4554811.56478244,1596209.25844529,253852.280658595,208752.691003204,40704711.7520262
225,4546739.16201108,1596036.36744076,289357.60352896,244293.295242493,40704711.7520262
226,4542534.94596302,1597334.87854495,321316.876268618,276246.723679027,40704711.7520262
227,4541336.21987423,1599771.97725271,346189.490088024,301081.65211596,40704711.7520262
228,4543176.19443632,1603360.72579764,371415.161604455,326237.426444788,40704711.7520262
229,4538695.98119639,1604175.89961754,284338.894837823,239213.802410205,40704711.7520262
230,4534638.34798146,1605118.72291929,287367.174275996,242290.845797178,40704711.7520262
231,4529418.59929201,1605591.25854278,278769.224619495,233752.402408475,40704711.7520262
232,4525121.13064429,1606381.68888576,285554.849446194,240588.958073645,40704711.7520262
233,4521863.39270796,1607534.49099991,293268.415972974,248343.803124905,40704711.7520262
234,4519715.84096466,1609076.38138722,301571.108198039,256677.476723736,40704711.7520262
235,4513940.68077875,1609217.61323517,274825.375434028,229996.295111781,40704711.7520262
236,4503690.93656219,1607639.53115774,241733.998083221,197010.888766806,40704711.7520262
237,4498011.51308688,1607760.55216487,275203.646441185,230544.195459634,40704711.7520262
238,4496431.77537411,1609402.16173693,305327.42217917,260693.669171255,40704711.7520262
239,4498030.51070803,1612215.67490549,328765.042993079,284127.548292226,40704711.7520262
240,4502842.97331244,1616213.61146222,352535.244557879,307864.229971802,40704711.7520262
241,4496761.416983,1617855.29184338,269143.132868192,224489.792077022,40704711.7520262
242,4491097.902979,1619638.73251438,272029.478248284,227389.816677986,40704711.7520262
243,4484346.76602437,1620915.31578792,264001.529004034,219387.715268303,40704711.7520262
244,4478488.9238132,1622539.84637889,270412.032872574,225814.973058287,40704711.7520262
245,4473635.35611515,1624560.81129289,277694.362919034,233103.765633738,40704711.7520262
246,4469852.58421225,1627007.44733627,285530.663133665,240935.514903658,40704711.7520262
247,4462635.37756604,1627933.17560222,260464.144807139,215901.793088245,40704711.7520262
248,4451178.70313947,1626990.53293481,229433.234515313,184949.67983691,40704711.7520262
249,4444083.21391902,1627887.09098675,260877.91685582,216426.833688674,40704711.7520262
250,4440900.8026874,1630430.09381687,289188.472311327,244728.327359642,40704711.7520262
251,4440755.02595667,1634241.9710091,311228.341336606,266726.990090154,40704711.7520262
252,4443679.00742284,1639336.79269073,333584.746470503,289009.667946943,40704711.7520262
253,4438902.08517572,1640651.88051162,253982.468201656,209441.227104431,40704711.7520262
254,4434539.97869107,1642103.57501461,256671.016512462,212159.650357341,40704711.7520262
255,4429042.44814226,1643042.09367786,249174.452933162,204704.523205331,40704711.7520262
256,4424449.80409689,1644321.93384045,255150.528283321,210713.143807898,40704711.7520262
257,4420876.68086705,1645990.74006113,261940.235978194,217525.356858947,40704711.7520262
258,4418391.76412298,1648076.87196421,269247.00105366,224843.894730964,40704711.7520262
259,4412356.75547032,1648643.78039581,245847.642486807,201492.087697984,40704711.7520262
260,4401943.23155993,1647345.61808971,216880.136768346,172616.231550675,40704711.7520262
261,4396006.56743997,1647892.33788702,246210.518929661,201993.568719719,40704711.7520262
262,4394085.11543017,1650090.83087316,272617.690202663,228407.621190781,40704711.7520262
263,4395276.23452131,1653563.18910882,293174.420244908,248940.192203326,40704711.7520262
264,4399613.80429298,1658323.45552599,314027.250509829,269737.463653177,40704711.7520262
265,4394434.50890283,1659693.1216367,238444.858432016,194342.355703717,40704711.7520262
266,4389667.14371768,1661209.71211005,240795.901397715,196876.934883538,40704711.7520262
267,4383786.45838897,1662206.47997316,233699.551358,189969.115338082,40704711.7520262
268,4378800.01212365,1663561.97458868,239104.145774014,195555.846533305,40704711.7520262
269,4374820.32746611,1665325.90603985,245261.060184412,201887.876073348,40704711.7520262
270,4371914.82226255,1667528.19482205,251894.810289889,208689.344331112,40704711.7520262
271,4365519.10084491,1668173.24469197,230043.399078442,187024.289619717,40704711.7520262
272,4354818.38384375,1666904.86371216,203040.609539055,160231.147462287,40704711.7520262
273,4348527.21196826,1667533.86239331,230126.140621499,187499.938069386,40704711.7520262
274,4346190.83645701,1669862.10895073,254485.19261859,212018.466205868,40704711.7520262
275,4346920.60042231,1673501.62039019,273404.267654298,231078.304699974,40704711.7520262
276,4350749.52148836,1678466.99554902,292587.469907772,250383.374173443,40704711.7520262
277,4344520.56015859,1680313.30033898,221160.426663892,178986.711490963,40704711.7520262
278,4338697.01047078,1682313.04608879,223482.4091965,181335.350362796,40704711.7520262
279,4331808.02673939,1683765.1741859,217093.118908964,174984.050399191,40704711.7520262
280,4325788.58725291,1685593.44495784,222223.122453858,180143.614827121,40704711.7520262
281,4320747.14200874,1687850.18894831,228048.999941459,185989.48896979,40704711.7520262
282,4316748.44051556,1690566.93378454,234317.294388183,192267.536602682,40704711.7520262
283,4309393.95291724,1691645.34730608,214321.062075092,172315.683003204,40704711.7520262
284,4297899.18506501,1690710.70582407,189556.2102732,147637.848188218,40704711.7520262
285,4290662.36784161,1691769.92426502,214641.545764351,172767.154793036,40704711.7520262
286,4287244.35338718,1694614.91392701,237231.380778039,195362.367329135,40704711.7520262
287,4286787.79183756,1698837.9252192,254821.503824092,212928.00361797,40704711.7520262
288,4289323.75218654,1704454.49020837,272667.234095787,230719.053965729,40704711.7520262
289,4281621.43500209,1702655.37072909,205023.400034623,163284.491037354,40704711.7520262
290,4274313.50534731,1700963.76639242,206977.137810795,165444.405232585,40704711.7520262
291,4266009.62365054,1698827.40901694,200985.0655401,159662.463926972,40704711.7520262
292,4258541.76155715,1696975.28687406,205504.806489782,164386.982396278,40704711.7520262
293,4252011.77244294,1695447.52869727,210656.424384869,169737.524409328,40704711.7520262
294,4246480.36969206,1694267.73263568,216208.220173259,175482.100934205,40704711.7520262
295,4237782.73219874,1691782.7369902,197798.493753571,157280.174740905,40704711.7520262
296,4225177.16567164,1687702.61742365,175054.763870592,134762.993795981,40704711.7520262
297,4216615.94100316,1685187.93938906,197795.459390288,157708.563133513,40704711.7520262
298,4211681.69498667,1684068.97614437,218241.991541065,178340.469244471,40704711.7520262
299,4209561.63550471,1684019.42709622,234112.166610649,194380.702299624,40704711.7520262
300,4210284.43290464,1685047.45822422,250202.706945724,210625.883264567,40704711.7520262
301,4201474.53874473,1681307.11165055,187970.958794269,148476.559744205,40704711.7520262
